a52dec 0.8.0-2
abseil-cpp 20230802.1-1
acl 2.3.1-3
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-1
adwaita-cursors 45.0-1
adwaita-icon-theme 45.0-1
alacritty 0.12.3-1
alembic 1.8.6-1
alsa-card-profiles 1:1.0.0-2
alsa-lib 1.2.10-2
alsa-plugins 1:1.2.7.1-2
alsa-topology-conf 1.2.5.1-3
alsa-ucm-conf 1.2.10-2
android-file-transfer 4.2-3
aom 3.7.1-1
appstream 1.0.0-5
archlinux-keyring 20231130-1
argon2 20190702-5
aribb24 1.0.3-3
at-spi2-core 2.50.0-1
attr 2.5.1-3
audacity 1:3.4.2-2
audit 3.1.2-1
autoconf 2.71-4
automake 1.16.5-2
avahi 1:0.8+r189+g35bb1ba-1
base 3-2
base-devel 1-1
bash 5.2.021-1
betterdiscordctl 2.0.1-1
binutils 2.41-3
bison 3.8.2-6
blas 3.12.0-2
blender 17:4.0.1-7
blosc 1.21.5-1
bluez-libs 5.70-1
boost-libs 1.83.0-2
bottom 0.9.6-1
box2d 2.4.1-2
brotli 1.1.0-1
btrfs-progs 6.6.2-1
bubblewrap 0.8.0-1
bzip2 1.0.8-5
c-ares 1.23.0-1
ca-certificates 20220905-1
ca-certificates-mozilla 3.95-1
ca-certificates-utils 20220905-1
cairo 1.18.0-1
calf 0.90.3-6
cantarell-fonts 1:0.303.1-1
carla 2.5.7-1
carla-bridges-win64 2.5.7-1
catppuccin-cursors-frappe 0.2.0-1
cblas 3.12.0-2
chromium 119.0.6045.199-1
clang 16.0.6-1
clang15 15.0.7-2
clucene 2.3.3.4-14
cmake 3.27.9-1
compiler-rt 16.0.6-2
compiler-rt15 15.0.7-1
coreutils 9.4-2
cppdap 1.58.0-1
cracklib 2.9.11-1
cryptsetup 2.6.1-3
cuda 12.3.0-6
cuda-tools 12.3.0-6
curl 8.4.0-2
cython 3.0.6-1
dav1d 1.3.0-1
db 6.2.32-1
db5.3 5.3.28-4
dbus 1.14.10-1
dbus-glib 0.112-3
dconf 0.40.0-2
debugedit 5.0-5
default-cursors 2-1
desktop-file-utils 0.27-1
device-mapper 2.03.22-2
dhcpcd 10.0.5-1
diffutils 3.10-1
discord 0.0.37-1
dnssec-anchors 20190629-3
dos2unix 7.5.1-1
dosfstools 4.2-3
double-conversion 3.3.0-1
draco 1.5.6-2
duktape 2.7.0-6
e2fsprogs 1.47.0-1
easyeffects 7.1.3-1
egl-wayland 2:1.1.13-1
eglexternalplatform 1.1-2
embree 4.3.0-1
embree3 3.13.5-2
exfat-utils 1.4.0-2
exiv2 0.28.1-1
expat 2.5.0-1
faad2 2.11.1-1
fakeroot 1.32.2-1
fd 8.7.1-1
ffmpeg 2:6.1-1
ffmpeg4.4 4.4.4-3
fftw 3.3.10-4
file 5.45-1
file-roller 43.1-1
filesystem 2023.09.18-1
findutils 4.9.0-3
firefox 120.0.1-1
fish 3.6.2-1
flac 1.4.3-1
flameshot 12.1.0-3
flex 2.6.4-5
fluidsynth 2.3.4-1
fmt 10.1.1-1
fontconfig 2:2.14.2-1
freeglut 3.4.0-1
